WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
576,College,US,64.8569,-147.8028,50.2,82,75,5.75,broken clouds
577,Loreto,MX,22.2667,-101.9667,76.6,15,13,15.17,few clouds
578,Larsnes,NO,62.2028,5.5773,52.21,82,30,5.75,scattered clouds
579,Iracoubo,GF,5.4802,-53.2011,81.43,81,14,10.13,few clouds
580,Tashtyp,RU,52.7939,89.8983,21.74,93,29,3.33,scattered clouds
581,Aksum,ET,14.1245,38.7244,59.13,76,96,1.86,light rain
582,Novyy Urengoy,RU,66.0833,76.6333,30.49,64,97,11.34,overcast clouds
583,Shenjiamen,CN,29.9576,122.298,77.27,90,3,19.66,clear sky
584,Mirnyy,RU,62.5353,113.9611,24.24,79,97,4.0,overcast clouds
585,Xai-Xai,MZ,-25.0519,33.6442,70.14,80,0,9.33,clear sky
586,Nemuro,JP,43.3236,145.575,59.25,84,52,22.7,broken clouds
587,Erenhot,CN,43.6475,111.9767,58.73,52,14,7.78,few clouds
588,Ewa Beach,US,21.3156,-158.0072,86.85,62,75,11.5,broken clouds
589,Kaa-Khem,RU,51.6833,94.7333,21.06,61,12,4.25,few clouds
590,Plettenberg Bay,ZA,-34.0527,23.3716,57.65,82,98,3.83,overcast clouds
591,Muisne,EC,0.6,-80.0333,75.96,76,79,9.89,broken clouds
592,Leninskoye,KZ,41.7589,69.3864,55.13,32,0,4.47,clear sky
593,Lithgow,AU,-33.4833,150.15,43.3,88,94,2.51,overcast clouds
594,Aki,JP,33.5,133.9,67.37,72,37,5.26,scattered clouds
595,Nyimba,ZM,-14.5566,30.8149,77.45,31,0,10.16,clear sky
596,Lasa,IT,46.6166,10.7002,54.48,98,100,5.53,overcast clouds
597,Buala,SB,-8.145,159.5921,82.08,74,60,4.14,light rain
598,Vardo,NO,70.3705,31.1107,35.58,87,100,2.3,overcast clouds
599,Labuan,MY,5.2767,115.2417,79.16,94,20,0.0,few clouds
600,Freeport,US,40.6576,-73.5832,62.56,85,100,19.57,overcast clouds
601,Sars,RU,56.5502,57.1366,41.86,76,98,7.7,overcast clouds
602,Bonavista,CA,48.6499,-53.1147,58.64,73,100,9.08,overcast clouds
603,Marina,US,36.6844,-121.8022,68.85,78,100,8.05,overcast clouds
604,Huoqiu,CN,32.3394,116.2694,82.11,52,69,6.51,broken clouds
605,Halifax,CA,44.6453,-63.5724,64.29,68,100,2.3,overcast clouds
606,Shelburne,CA,44.0787,-80.2041,64.24,53,100,9.95,overcast clouds
607,Aguas Belas,BR,-9.1114,-37.1231,73.26,53,6,11.03,clear sky
608,Dingle,PH,10.9995,122.6711,75.99,92,46,6.13,moderate rain
609,Miquelon,PM,47.0975,-56.3814,55.4,85,100,19.39,overcast clouds
610,Ellensburg,US,46.9965,-120.5479,78.62,52,0,3.0,clear sky
611,Tres Lagoas,BR,-20.7511,-51.6783,83.05,51,10,5.75,clear sky
612,Javanrud,IR,34.7961,46.5172,65.5,18,0,4.81,clear sky
613,Lunglei,IN,22.8833,92.7333,66.29,98,100,2.13,light rain
614,Miri,MY,4.4148,114.0089,78.94,94,20,3.44,few clouds
615,Talnakh,RU,69.4865,88.3972,29.21,97,100,5.1,light snow
616,Tsimlyansk,RU,47.6461,42.1019,66.43,61,100,7.02,overcast clouds
617,Broome,US,42.2506,-75.833,63.37,76,100,4.81,overcast clouds
618,Kadrina,EE,59.3347,26.145,42.76,89,99,4.27,overcast clouds
619,Palauig,PH,15.435,119.9045,79.36,76,13,3.94,few clouds
620,Lethem,GY,3.3803,-59.7968,82.51,69,92,2.98,moderate rain
621,Mancio Lima,BR,-7.6142,-72.8958,89.67,51,75,5.75,broken clouds
622,Eregli,TR,37.5133,34.0467,69.22,35,0,5.82,clear sky
623,Ca Mau,VN,9.1769,105.15,76.03,95,100,3.6,overcast clouds
624,Morondava,MG,-20.2833,44.2833,74.1,75,0,9.1,clear sky
625,San Blas,MX,21.5167,-105.2667,87.69,87,100,8.88,overcast clouds
626,Veraval,IN,20.9,70.3667,79.61,80,4,9.13,clear sky
627,Alta Gracia,AR,-31.6529,-64.4283,81.88,25,7,11.54,clear sky
