WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
684,Phangnga,TH,8.4509,98.5298,78.84,81,97,2.37,overcast clouds
685,Asau,RO,46.4333,26.4,45.52,85,57,5.01,broken clouds
686,Caravelas,BR,-17.7125,-39.2481,75.2,86,56,11.34,broken clouds
687,Palana,RU,59.1167,159.9667,42.82,76,100,7.14,overcast clouds
688,Chesterfield,US,37.3835,-77.5997,51.26,82,100,12.66,overcast clouds
689,Karpogory,RU,64.0019,44.4451,42.66,91,100,9.78,light rain
690,Northam,GB,51.0333,-4.2167,57.38,90,52,13.0,broken clouds
691,Ilhabela,BR,-23.7781,-45.3581,67.32,92,100,5.41,overcast clouds
692,Oban,GB,56.4127,-5.4706,60.39,88,100,21.94,light rain
693,Raton,US,36.9034,-104.4391,53.06,93,40,5.75,scattered clouds
694,Kiunga,PG,-6.1219,141.2906,90.25,57,93,3.98,overcast clouds
