City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Chake Chake,TZ,70.74,scattered clouds,-5.2459,39.7666,Pemba Sea View Hotel
544,Udupi,IN,78.04,broken clouds,13.35,74.75,Hotel Sri Krishna Residency
549,Bac Lieu,VN,83.1,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
557,Mareeba,AU,80.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
564,Gusau,NG,75.7,overcast clouds,12.1628,6.6614,GUEST INN
565,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
569,Samarai,PG,81.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
570,Pangkalanbuun,ID,85.95,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
575,Vaitape,PF,78.39,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
576,Kokopo,PG,87.4,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
577,Managua,NI,81.84,scattered clouds,12.1328,-86.2504,Pachamama Managua
578,Nouadhibou,MR,80.58,broken clouds,20.931,-17.0347,El Medina
580,Saint-Louis,SN,88.34,overcast clouds,16.3333,-15.0,
583,Micheweni,TZ,72.61,scattered clouds,-4.9667,39.8333,
584,Floriano,BR,80.69,clear sky,-6.7669,-43.0225,Hotel Maktub
588,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
589,Merauke,ID,87.55,broken clouds,-8.4667,140.3333,
592,Pacific Grove,US,72.55,clear sky,36.6177,-121.9166,Lovers Point Inn
593,Perene,PE,74.01,broken clouds,-10.9492,-75.2261,Hospedaje EL TIGRE
595,Da Nang,VN,78.78,broken clouds,16.0678,108.2208,Grand Mercure Danang
596,Puerto Narino,CO,77.49,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
598,Faridkot,IN,75.72,clear sky,30.6667,74.75,Sangam Hotel
603,Ocos,GT,78.98,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
607,Sydney,AU,75.61,scattered clouds,-33.8679,151.2073,The Grace Sydney
609,Ayapa,MX,77.04,scattered clouds,18.1833,-93.1667,AMORE HUAPACAL
615,Axim,GH,75.09,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
620,Dehloran,IR,84.11,clear sky,32.6941,47.2679,کافه گیم استورم
621,Akyab,MM,80.82,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
625,Kunjah,PK,73.44,clear sky,32.5285,73.9737,Ali BaBa
629,Gidam,IN,72.48,moderate rain,18.9833,81.4,Dhanshree Lodge And DormItory
632,Narrabri,AU,73.53,overcast clouds,-30.3167,149.7833,Crossroads Hotel
633,Ganzhou,CN,83.97,scattered clouds,28.8184,115.4327,Zhanqian Grand Hotel
637,Tateyama,JP,82.09,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
638,Safaga,EG,81.52,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
